key,value,version,sheet
Item_VialMaid_I,瓶中女仆·I型,1.0,MaidItemName
Item_VialMaid_I_Desc,封存于魔法容器中的临时契约女仆。只需在危急时刻打碎契约瓶，即可短暂召唤出能协助主人撤离的应急女仆。属于一次性使用的短效支援女仆。,1.0,MaidItemDescription
Item_VialMaid_II,瓶中女仆·II型,1.0,MaidItemName
Item_VialMaid_II_Desc,封存于强化容器中的强袭契约女仆。比I型更具攻击性，能以极高的机动性迅速切入战场清除威胁。是值得信赖的军用级单兵支援战力。,1.0,MaidItemDescription
Item_VialMaid_III,瓶中女仆·III型,1.0,MaidItemName
Item_VialMaid_III_Desc,封存于皇家秘银容器中的特级契约女仆。拥有极高的战斗性能。极其昂贵，但在面对绝境时，她就是你最坚实的最后一道防线。,1.0,MaidItemDescription
Item_MaidContractWineFox,酒狐女仆契约,1.0,MaidItemName
Item_MaidContractWineFox_Desc,召唤成长型女仆-酒狐。内置冷却2分钟。酒狐已存在时召唤会刷新状态。,1.0,MaidItemDescription
Setting_HealthMultiplier,生命倍率,1.0,GeneralSettings
Setting_AttackMultiplier,攻击倍率,1.0,GeneralSettings
Setting_MoveSpeedMultiplier,移速倍率,1.0,GeneralSettings
Setting_Key_Move,指令: 战术移动,1.0,KeyBindings
Setting_Key_Heal,指令: 强制治疗,1.0,KeyBindings
Setting_Key_Hold,指令: 驻守/跟随,1.0,KeyBindings
Settings_CombatMaid_Group,战斗女仆核心设置,1.0,Groups
Settings_CombatMaid_Stats,属性倍率调整,1.0,Groups
Settings_CombatMaid_Keys,按键绑定设置,1.0,Groups
Settings_CombatMaid_Customize,自定义女仆配置(请至少生成一次酒狐后再修改!),1.0,Groups
Settings_CustomMaidName,自定义女仆名称,1.0,CustomMaid
Settings_CustomMaidModelID,自定义模型ID(仅数字，留空使用默认),1.0,CustomMaid
Settings_OpenSaveFolder,女仆存档目录(游戏根目录),1.0,CustomMaid
Settings_OpenSaveFolderButton,打开女仆配置存档文件夹,1.0,CustomMaid
Setting_Key_Scavenge,指令: 搜刮模式,1.0,KeyBindings
Setting_Key_Drop,指令: 吐出物资,1.0,KeyBindings
Buff_MaidBuff_Tear_Name,装甲撕裂,1.0,Buffs
Perk_Maid_Core,酒狐女仆契约,2.2.2,Perks
Perk_Maid_Core_Desc,获得召唤酒狐女仆的能力。\n缔结正式契约后，酒狐将以战术伙伴的身份长期陪伴主人，共享成长、协同作战，解锁专属的女仆战术科技树。\n解锁物品：<color=#F3D38A>酒狐契约</color>（泥巴商店出售）。,2.2.2,Perks
Perk_WineFox_Health_1,强化契约躯体 I,2.2.2,Perks
Perk_WineFox_Health_1_Desc,以契约力量初步强化酒狐的生命核心，使其具备更稳定的战场续航。\n最大生命值 <color=#FF8A8A>+20</color>。,2.2.2,Perks
Perk_WineFox_Health_2,强化契约躯体 II,2.2.2,Perks
Perk_WineFox_Health_2_Desc,进一步稳固契约之躯，使酒狐的生命力在持续作战中表现更为可靠。\n最大生命值 <color=#FF8A8A>+20</color>。,2.2.2,Perks
Perk_WineFox_Health_3,强化契约躯体 III,2.2.2,Perks
Perk_WineFox_Health_3_Desc,增强酒狐的核心结构，使其生命力跃升至更高水平。\n最大生命值 <color=#FF8A8A>+40</color>。,2.2.2,Perks
Perk_WineFox_Dmg_1,战斗契约强化 I,2.2.2,Perks
Perk_WineFox_Dmg_2,战斗契约强化 II,2.2.2,Perks
Perk_WineFox_Dmg_3,战斗契约强化 III,2.2.2,Perks
Perk_Maid_SelfHeal,自我治疗,2.2.2,Perks
Perk_Maid_SelfHeal_Desc,赋予女仆自主判断伤势并使用医疗物品的能力。\n使酒狐在负伤时能够依照战术优先级进行自我修复。\n解锁物品：<color=#F3D38A>酒狐御制回复药</color>（佛哥商店出售）。,2.2.2,Perks
Perk_Maid_Grenade,手雷技能,2.2.2,Perks
Perk_Maid_Grenade_Desc,赋予女仆使用基础破片手雷的战术能力。\n可在战斗中投掷手雷，对目标区域形成爆破压制。\n解锁能力：<color=#F3D38A>手雷投掷</color>。,2.2.2,Perks
Perk_Bottle_Lv1,瓶中女仆 I 型,2.2.2,Perks
Perk_Bottle_Lv1_Desc,解锁最低阶瓶中女仆的临时契约召唤。\n该单位为独立个体，不继承酒狐女仆的属性加成。\n解锁物品：<color=#F3D38A>瓶中女仆 I 型</color>（泥巴商店出售）。,2.2.2,Perks
Perk_Bottle_Lv2,瓶中女仆 II 型,2.2.2,Perks
Perk_Bottle_Lv2_Desc,解锁中阶强化版瓶中女仆，具备更高战斗能力。\n独立个体，不继承酒狐女仆的成长属性。\n解锁物品：<color=#F3D38A>瓶中女仆 II 型</color>（泥巴商店出售）。,2.2.2,Perks
Perk_Bottle_Lv3,瓶中女仆 III 型,2.2.2,Perks
Perk_Bottle_Lv3_Desc,解锁最高阶封存战偶级瓶中女仆，拥有接近皇家近卫级的作战能力。\n独立个体，不继承酒狐女仆的成长属性。\n解锁物品：<color=#F3D38A>瓶中女仆 III 型</color>（泥巴商店出售）。,2.2.2,Perks
Perk_WineFox_Health_4,强化契约躯体 IV,2.2.2,Perks
Perk_WineFox_Health_4_Desc,扩展契约护甲的保护范围，使生命力与抗性同步提升。\n最大生命值 <color=#FF8A8A>+50</color>，物理伤害减免 <color=#FF8A8A>-10%</color>。,2.2.2,Perks
Perk_WineFox_Health_5,强化契约躯体 V,2.2.2,Perks
Perk_WineFox_Health_5_Desc,将契约之躯锻造成高阶守护形态，使酒狐在极端环境下仍能稳固作战。\n最大生命值 <color=#FF8A8A>+70</color>，物理伤害减免 <color=#FF8A8A>-20%</color>。,2.2.2,Perks
Perk_Flexibility_1,灵活战姿 I,2.2.2,Perks
Perk_Flexibility_1_Desc,提升基础移动节奏。\n主人~ 我开始做机动训练啦！这样就能在战场上灵活地跟紧你，不会掉队的喔！\n移动速度：<color=#7FE8D8>+10%</color>，并解锁冲刺能力。,2.2.2,Perks
Perk_Flexibility_2,灵活战姿 II,2.2.2,Perks
Perk_Flexibility_2_Desc,强化步伐节奏与转身协调。\n现在的我不仅跑得更快，转身瞄准也变得更顺滑了呢！\n移动速度：<color=#7FE8D8>+10%</color>，转向速度：<color=#7FE8D8>+10%</color>。,2.2.2,Perks
Perk_Flexibility_3,灵活战姿 III,2.2.2,Perks
Perk_Flexibility_3_Desc,将机动训练提升至战术级别。\n嘿嘿~ 主人，现在的我连高速移动中也能稳稳保持姿态啦~\n移动速度：<color=#7FE8D8>+10%</color>，转向速度：<color=#7FE8D8>+20%</color>，并解锁移动射击能力。,2.2.2,Perks
Perk_WineFox_Dmg_1_Desc,初步解放酒狐的战斗潜能，提高中远距离的命中效率。\n伤害 <color=#FFC572>+10%</color>。,2.2.2,Perks
Perk_WineFox_Dmg_2_Desc,优化火力与弹道演算，使中远距离输出更加稳定。\n伤害 <color=#FFC572>+5%</color>，子弹速度 <color=#FFC572>+10%</color>。,2.2.2,Perks
